Store,Dept,Date,Predicted_Sales
1,1,2012-11-02,27187.61
1,1,2012-11-09,31299.742
1,1,2012-11-16,30401.896
1,1,2012-11-23,29175.682
1,2,2012-11-02,43012.473
1,2,2012-11-09,43004.875
1,2,2012-11-16,43009.71
1,2,2012-11-23,43005.117
1,3,2012-11-02,9522.162
1,3,2012-11-09,9531.766
1,3,2012-11-16,9482.853
1,3,2012-11-23,9482.651
1,4,2012-11-02,36332.79
1,4,2012-11-09,36347.535
1,4,2012-11-16,36347.824
1,4,2012-11-23,36348.2
1,5,2012-11-02,24026.004
1,5,2012-11-09,24837.332
1,5,2012-11-16,25017.574
1,5,2012-11-23,25097.598
1,6,2012-11-02,3959.4636
1,6,2012-11-09,3921.0571
1,6,2012-11-16,3917.1206
1,6,2012-11-23,3918.384
1,7,2012-11-02,21591.99
1,7,2012-11-09,21380.994
1,7,2012-11-16,21353.057
1,7,2012-11-23,21219.441
1,8,2012-11-02,38938.312
1,8,2012-11-09,39024.473
1,8,2012-11-16,39001.49
1,8,2012-11-23,38995.125
1,9,2012-11-02,40785.207
1,9,2012-11-09,40721.36
1,9,2012-11-16,40300.375
1,9,2012-11-23,40299.387
1,10,2012-11-02,26596.857
1,10,2012-11-09,26593.455
1,10,2012-11-16,26519.506
1,10,2012-11-23,26519.506
1,11,2012-11-02,21847.803
1,11,2012-11-09,21979.574
1,11,2012-11-16,22014.05
1,11,2012-11-23,22014.05
1,12,2012-11-02,8949.664
1,12,2012-11-09,8720.583
1,12,2012-11-16,8947.176
1,12,2012-11-23,8893.6045
1,13,2012-11-02,38515.36
1,13,2012-11-09,38394.43
1,13,2012-11-16,38390.918
1,13,2012-11-23,38400.434
1,14,2012-11-02,11015.994
1,14,2012-11-09,10696.358
1,14,2012-11-16,10292.05
1,14,2012-11-23,10895.565
1,16,2012-11-02,10014.5625
1,16,2012-11-09,10038.975
1,16,2012-11-16,9973.807
1,16,2012-11-23,9968.819
1,17,2012-11-02,7627.6553
1,17,2012-11-09,7634.408
1,17,2012-11-16,7623.2417
1,17,2012-11-23,7623.367
1,18,2012-11-02,17600.592
1,18,2012-11-09,18322.994
1,18,2012-11-16,17881.496
1,18,2012-11-23,18231.045
1,19,2012-11-02,1530.3245
1,19,2012-11-09,1566.9014
1,19,2012-11-16,1566.1053
1,19,2012-11-23,1569.4276
1,20,2012-11-02,2874.7861
1,20,2012-11-09,2767.41
1,20,2012-11-16,2771.2632
1,20,2012-11-23,2852.2053
1,21,2012-11-02,7962.2773
1,21,2012-11-09,7981.8667
1,21,2012-11-16,7982.484
1,21,2012-11-23,8003.1694
1,22,2012-11-02,8072.8867
1,22,2012-11-09,8062.424
1,22,2012-11-16,8052.63
1,22,2012-11-23,8043.088
1,23,2012-11-02,21366.951
1,23,2012-11-09,21481.748
1,23,2012-11-16,21477.904
1,23,2012-11-23,21481.158
1,24,2012-11-02,7010.153
1,24,2012-11-09,7130.025
1,24,2012-11-16,7075.163
1,24,2012-11-23,7079.4785
1,25,2012-11-02,11008.152
1,25,2012-11-09,11045.76
1,25,2012-11-16,11032.851
1,25,2012-11-23,11101.212
1,26,2012-11-02,6996.4575
1,26,2012-11-09,6994.1733
1,26,2012-11-16,7160.862
1,26,2012-11-23,7248.1665
1,27,2012-11-02,1592.5012
1,27,2012-11-09,1640.5396
1,27,2012-11-16,1633.956
1,27,2012-11-23,1628.3583
1,28,2012-11-02,722.60864
1,28,2012-11-09,738.9893
1,28,2012-11-16,744.8965
1,28,2012-11-23,744.2228
1,29,2012-11-02,4049.4614
1,29,2012-11-09,4035.0842
1,29,2012-11-16,4019.4673
1,29,2012-11-23,4020.9026
1,30,2012-11-02,2773.0688
1,30,2012-11-09,2803.3735
1,30,2012-11-16,2817.1833
1,30,2012-11-23,2808.8662
1,31,2012-11-02,1292.1384
1,31,2012-11-09,1287.3969
1,31,2012-11-16,1287.3969
1,31,2012-11-23,1287.3969
1,32,2012-11-02,5674.4443
1,32,2012-11-09,5682.081
1,32,2012-11-16,5689.22
1,32,2012-11-23,5669.8296
1,33,2012-11-02,6202.6235
1,33,2012-11-09,6146.6177
1,33,2012-11-16,6145.195
1,33,2012-11-23,6093.022
1,34,2012-11-02,9995.047
1,34,2012-11-09,10062.514
1,34,2012-11-16,10021.659
1,34,2012-11-23,10021.701
1,35,2012-11-02,1586.5988
1,35,2012-11-09,1586.5988
1,35,2012-11-16,1586.5988
1,35,2012-11-23,1586.5988
1,36,2012-11-02,1037.5697
1,36,2012-11-09,1129.5045
1,36,2012-11-16,1100.5757
1,36,2012-11-23,1146.8655
1,37,2012-11-02,2564.299
1,37,2012-11-09,2563.5898
1,37,2012-11-16,2563.9097
1,37,2012-11-23,2560.0625
1,38,2012-11-02,66154.3
1,38,2012-11-09,66286.0
1,38,2012-11-16,66487.84
1,38,2012-11-23,66487.84
1,40,2012-11-02,59099.13
1,40,2012-11-09,59118.5
1,40,2012-11-16,59083.613
1,40,2012-11-23,59203.555
1,41,2012-11-02,1812.4557
1,41,2012-11-09,1836.6086
1,41,2012-11-16,1787.843
1,41,2012-11-23,1773.6946
1,42,2012-11-02,6927.123
1,42,2012-11-09,6930.0073
1,42,2012-11-16,6937.8906
1,42,2012-11-23,6941.254
1,44,2012-11-02,6636.578
1,44,2012-11-09,6622.455
1,44,2012-11-16,6704.462
1,44,2012-11-23,6823.391
1,45,2012-11-02,21.250847
1,45,2012-11-09,21.122522
1,45,2012-11-16,21.04168
1,45,2012-11-23,20.961601
1,46,2012-11-02,17911.406
1,46,2012-11-09,17921.027
1,46,2012-11-16,17909.066
1,46,2012-11-23,17904.17
1,48,2012-11-02,2842.4106
1,48,2012-11-09,3098.532
1,48,2012-11-16,2821.8208
1,48,2012-11-23,3860.558
1,49,2012-11-02,8825.77
1,49,2012-11-09,8813.785
1,49,2012-11-16,8842.455
1,49,2012-11-23,8840.627
1,51,2010-10-22,6.7667494
1,51,2010-10-29,7.082695
1,51,2010-11-05,6.7256165
1,51,2010-11-12,6.7232904
1,52,2012-11-02,2391.6802
1,52,2012-11-09,2367.7542
1,52,2012-11-16,2385.4302
1,52,2012-11-23,2373.129
1,54,2012-11-02,8.760713
1,54,2012-11-09,6.7236633
1,54,2012-11-16,9.036903
1,54,2012-11-23,6.632652
1,55,2012-11-02,10182.403
1,55,2012-11-09,10257.878
1,55,2012-11-16,11594.308
1,55,2012-11-23,11556.917
1,56,2012-11-02,1026.9515
1,56,2012-11-09,998.7055
1,56,2012-11-16,1003.8457
1,56,2012-11-23,1017.1622
1,58,2012-11-02,4812.8423
1,58,2012-11-09,4817.6724
1,58,2012-11-16,4846.4673
1,58,2012-11-23,4865.7954
1,59,2012-11-02,209.93369
1,59,2012-11-09,208.96152
1,59,2012-11-16,225.47513
1,59,2012-11-23,226.50604
1,60,2012-11-02,910.11365
1,60,2012-11-09,914.51917
1,60,2012-11-16,914.6047
1,60,2012-11-23,908.6914
1,67,2012-11-02,7276.2915
1,67,2012-11-09,8713.068
1,67,2012-11-16,9252.113
1,67,2012-11-23,8961.994
1,71,2012-11-02,1374.4578
1,71,2012-11-09,1396.6215
1,71,2012-11-16,1297.4661
1,71,2012-11-23,1297.4661
1,72,2012-11-02,33915.223
